Number,Official name,Abbreviation,Location (Country),Location (City)
0,United Nations,UN,United States,New York City
1,Food and Agriculture Organization,FAO,Italy,Rome
2,International Civil Aviation Organization,ICAO,Canada,Montreal
3,International Fund for Agricultural Development,IFAD,Italy,Rome
4,International Labour Organization,ILO,Switzerland,Geneva
5,International Maritime Organization,IMO,United Kingdom,London
6,International Monetary Fund,IMF,United States,"Washington, D.C."
7,International Telecommunication Union,ITU,Switzerland,Geneva
8,"United Nations Educational, Scientific and Cultural Organization",UNESCO,France,Paris
9,United Nations Industrial Development Organization,UNIDO,Austria,Vienna
10,Universal Postal Union,UPU,"Switzerland,",Bern
11,World Bank Group,WBG,United States,"Washington, D.C."
12,World Health Organization,WHO,Switzerland,Geneva
13,World Intellectual Property Organization,WIPO,Switzerland,Geneva
14,World Meteorological Organization,WMO,Switzerland,Geneva
15,World Tourism Organization,UNWTO,Spain,Madrid
16,Comprehensive Nuclear-Test-Ban Treaty Organization Preparatory Commission,CTBTO Prep Com,Austria,Vienna
17,International Atomic Energy Agency,IAEA,Austria,Vienna
18,Organisation for the Prohibition of Chemical Weapons,OPCW,Netherlands,Hague
19,World Trade Organization,WTO,Switzerland,Geneva
20,International Organization for Migration,IOM,Switzerland,Geneva